productId,productName,longDescription,nature_code,target_code
2,Alien Hypersense - Eau de Parfum Rechargeable Florale Boisée Ambrée,"<div>Alien Hypersense Eau de Parfum, le parfum qui éveille tous vos sens. Hypermoderne, hyperféminin et sensuellement floral. Alien Hypersense exprime les pouvoirs les plus instinctifs de la muse Alien.&nbsp;</div><div>La quintessence de la fleur est capturée dans un flacon talisman technicolor. La femme Alien Hypersense ressent tout de manière hyperbolique. Connectée à elle-même, elle fait de son audace son pouvoir ultime. Magnétique et sensuelle, elle se métamorphose en décuplant ses cinq sens. La vue, l'ouïe, le goût, le toucher, l’odorat…&nbsp;</div><div><br></div><div>L'Eau de Parfum Alien Hypersense composée de trois révélations:</div><div>&nbsp;</div><div>La révélation de l’éveil : Si vive qu'on pourrait la goûter, la mandarine verte éveille tous nos sens. Elle s’accompagne d’un accord poire juteux et cristallin.&nbsp;</div><div><br></div><div>La révélation fleurissante : Un accord magnétique et hyper féminin, composé d’une floraison fraîche et pétalé de Jasmin Sambac, qui amplifie le pouvoir solaire de la fleur. Ce jasmin Sambac est issu d'une récolte durable dans les champs, dont Mugler est propriétaire en Inde. Sa fragrance sensuelle et généreuse, moins fruitée et plus florale que le jasmin classique, révèle puissance et opulence.&nbsp;</div><div><br></div><div>La révélation électrisante : Sentez la force du cashmeran, irradiant d'hyper-sensualité. Doux comme le musc, soyeux comme le bois flotté, avec une touche salée et sexy d'ambre gris sur la peau chauffée par le soleil... Le bois ambré emblématique d'Alien, aux facettes si riches qu'il est presque un parfum à lui seul, déclenche une révolution sensorielle.&nbsp;</div><div><br></div><div>Au-delà du parfum : une invitation à ressentir l'extraordinaire et libérer l'Alien qui sommeille en vous. Conçu par Mugler avec Dominique Ropion, l'ultime Maître Parfumeur qui a composé l'Eau de Parfum originale en 2005 : ""J'ai conçu un Alien ultra-moderne, atteignant la quintessence de la floralité"".&nbsp;</div><div><br></div><div>Pour vous ou pour offrir, Alien Hypersense Eau de Parfum est disponible dans une gamme entièrement rechargeable en format 30ml, 60ml et 90ml. Rechargez votre flacon depuis chez vous avec le flacon recharge 100ml. Redonnez-vie éternellement à votre flacon !</div>",EAUPARFUM,FEMME
3,Dylan Blue - Eau de Toilette,"&laquo; Dylan Blue, c'est la quintessence de l'homme Versace d'aujourd'hui. C'est un parfum au caract&egrave;re marqu&eacute;, singulier, l'incarnation de la force et du charisme de l'homme.&raquo; Donatella Versace",EAUTOIL,HOMME
4,Shampoing à la Pivoine BIO - Apaisant Cuir chevelu sensible ,"Avec le Shampoing apaisant à la Pivoine BIO, Klorane offre aux cuirs chevelus sensibles un apaisement immédiat et pour 24H<sup>(1)</sup>, tout en respectant l'équilibre du cuir chevelu. Composé à 85 % d'ingrédients d'origine naturelle, biodégradable<sup>(2)</sup> et végan<sup>(3)</sup>, ce Shampoing tire sa force de l'extrait de Pivoine de Chine BIO, une fleur cultivée dans un écosystème préservé, traditionnellement utilisée pour ses vertues  apaisantes. Sa formule au pH physiologique lave en douceur et protège le cuir chevelu durablement, tout en apaisant immédiatement les démangeaisons. Les cheveux sont doux et profitent d'un parfum délicat et relaxant. Le tout dans un flacon sans étui en plastique 100 % recyclé et recyclable. Un shampoing qui allie efficacité et éco-conception pour apaiser les cuirs chevelus sensibles.
<br><br>
(1) Effet perçu, test d'usage consommateur, 70 personnes : sensation d'apaisement immédiat et pendant 24 H (79 % de satisfaction).<br>
(2) Formule biodégradable, selon test OCDE 301 B.<br>
(3) Klorane info : sans ingrédients d'origine animale.<p style=""text-align: center;""><span style=""font-size:18px;""><u><a href=https://www.sephora.fr/aide-sephora><span style=""background-color:#ffffff;"">Contacter nos Pharmaciens</span></a></u></span></p>

<p class=""mention9""><strong>- Besoin de conseils ? Nos pharmaciens vous r&eacute;pondent</strong></p>

<p class=""mention9"">Vous avez besoin de conseils pour trouver le soin qui correspond &agrave; votre peau ou identifier la routine parfaite ? Contactez nos pharmaciens, ils vous r&eacute;pondront le plus rapidement possible !</p>",SHAMPOINGS,FEMME
5,In Extreme Dimension 3D Black Lash Mascara - Mascara 3D,"<p><b>In Extreme Dimension 3D Black Lash Mascara : un mascara noir intense avec une brosse moulée qui donne du volume tout en recourbant les cils.</b>
</p><p>
<b>Le Mascara In Extreme Dimension cils noirs 3D apporte volume et courbure aux cils.&nbsp;</b>Ce Mascara 3D allonge intensément les cils grâce à sa brosse moulée XXL.
</p><p>
Chaque passage permet d'appliquer un maximum de produit sans créer de paquets.
Sa formule contient des pigments noir carbone qui donnent aux cils une couleur extrêmement intense et <b>un volume extrême.</b>
</p><p>
La pointe de la brosse permet une application précise sur les cils du bas et dans les coins.
La brosse sépare et soulève les cils, contribuant ainsi à augmenter significativement la courbure et le volume.</p><p><br><span style=""font-weight: bold;"">
Pourquoi on aime ce mascara 3D ?<br></span>
-&nbsp;Formule noir intense<br>
- Allongeant<br>
- Volumisant<br>
- Recourbant<br>
- Ne coule pas<br>
- Sans paquets ni bavures<br>
- Testé sous contrôle ophtalmologique<br>
- Adapté aux porteurs de lentilles de contact</p>",MASCARAS,FEMME
6,Extravagance d'Amarige - Eau de toilette,"Givenchy offre aujourd'hui le plaisir de retrouver ou de découvrir les parfums qui jalonnent l'histoire olfactive de la Maison. Le Flacon est sobre et épuré et rappelle la goût de la pureté d'Hubert de Givenchy.

Extravagance d'Amarige (1998)
Une création étincelle d'énergie, d'audace et d'exubérance. Une composition florale verte, à la fois éclatante et sensuelle. Une empreinte unique et intrigante sur la peau.",EAUTOIL,FEMME
7,Pâte lavante épaississante aux rassoul pur et algue de Tahiti,"<img style=""width:8%; display:inline-block;"" src=""LP/sephora/goodFor/goodFor_vegan_.png?$staticlink$?q=75"" alt=""Certified organic - Vegan"">
<br><br>Ce  shampooing est idéal pour les hommes aux cheveux fins ou ayant tendance à s'affiner. <br>Sa formule pâte innovante, composée à <span style=""font-weight: bold;"">95% d'ingrédients d'origine naturelle</span>, est concentrée en Rassoul pur. Riche en minéraux, il absorbe en douceur les impuretés qui étouffent le cuir chevelu et apporte immédiatement corps et tonus dès la racine. Il est associé à une algue de Tahiti, reconnue pour ses propriétés densifiantes et revitalisantes. <br>Le cuir chevelu reste propre longtemps et les cheveux sont visiblement plus épais et plus forts au fil des utilisations. <br>Sans : paraben, silicone, SLS, colorant.<br><br><span style=""font-weight: bold;"">
GOOD FOR VEGAN</span>*<br>
Des produits sans ingrédient d'origine animale<br><br>
*Bon pour les végétaliens",SHAMPOINGS,HOMME
8,Mascara Méga Volume Miss Punky Black Latex,"Le premier mascara&nbsp;styling des cils de L'Or&eacute;al Paris pour un regard manga XXL punky extra-noir gr&acirc;ce &agrave; sa formule texturisante extra-noire.<br /><br />Pour quel type de maquillage ?<br />Cette formule enrobe les cils d&rsquo;une mati&egrave;re texturisante extra-noire pour un fini latex aux reflets brillants. Cr&eacute;ez selon votre envie des regards m&eacute;ch&eacute;s rebelles du plus l&eacute;ger au plus extr&ecirc;me.&nbsp;Gr&acirc;ce &agrave; ses picots et ses larges r&eacute;servoirs, elle attrape tous les cils, les charge &agrave; l&rsquo;extr&ecirc;me pour un volume rebelle de poup&eacute;e punk.<br />R&eacute;sultat : des cils extra-noirs volumis&eacute;s et ultram&eacute;ch&eacute;s pour un regard Manga XXL totalement punk digne d&rsquo;une poup&eacute;e manga.<br /><br />Comment l'utiliser ?<br />1. Appliquez sur les cils du haut en &eacute;tirant la formule de la racine &agrave; la pointe en plusieurs passages pour un volume d&eacute;mesur&eacute;.<br />2. Renouvelez l&rsquo;op&eacute;ration sur les cils du bas.<br />Attrapez tous les cils m&ecirc;me les plus petits gr&acirc;ce &agrave; la pointe pr&eacute;cision.<br />Pour un effet m&eacute;ch&eacute; intense, positionnez la brosse &agrave; la verticale et twistez plusieurs cils entre eux.<br /><br /><br>",MASCARAS,FEMME
9,Nettoyant au sulfate 4 % - Nettoyant corps et cheveux,"<img style=""width:18%; display:inline-block;"" src=""https://edge.disstg.commercecloud.salesforce.com/dw/image/v2/BCZG_STG/on/demandware.static/-/Library-Sites-SephoraV2/default/v575c67102dd6790f4395f1ba20e06f5148b020bf/LP/beaute-bio-vegan-naturelle/SEPHORA_SUSTAINABILITY_VEGAN_SEAL_RVB.png""><br><br>Nettoyage en douceur, des pieds à la tête. Une formule minimaliste, sans parfum, contenant un sulfate doux (SLES-2), qui convient à une utilisation quotidienne sur tous les types de cheveux.<br>Ce produit offre un nettoyage doux mais efficace du corps et des cheveux, sans provoquer de dessèchement de la peau ou des cheveux.



<br><br><div><p><strong>Vegan : </strong>Des produits sans ingrédient d’origine animale.</p></div>",SHAMPOINGS,FEMME
10,Mini Lash Brag - Mascara Volumisateur Format Voyage,"Obtenez le volume et la densité de cils ultimes dont vous pourrez être fière grâce à ce mascara noir profond ultra-volumisant.<br><br>

Mini Lash Brag donne instantanément un regard profond aux cils fournis et extrêmement volumineux. La brosse spécialement conçue en forme de sablier sépare chaque cil en le recouvrant d'une texture riche en pigments, et glisse sans faire de paquets, pour un regard voluptueux toute la journée.<br><br>

Fini : Matte black",MASCARAS,FEMME
11,Crème Douceur Jour,"Une peau plus souple, douce et unie.<br>
Le traitement quotidien des peaux sensibles proposés en deux textures : Crème Douceur Jour, très douce et confortable, et Fluide Douceur Jour, légère et ultra-pénétrante, idéale quand il fait chaud.<br><br>

<b>Actions beauté</b> :<br>
- Calme les sensations d'inconfort dès l'application.<br>
- Prévienne l'apparition d'irritations et de rougeurs.<br>
- Rééquilibre les défenses cutanées naturelles, hydrate<sup>(1)</sup> et fortifie la peau.<br>
- Assure une peau plus souple, plus douce, plus unie.<br>
- Facilite le maquillage et prolonge sa tenue.

<br><br><p class=""mention9"">(1) Hydratation des couches supérieures de l'épiderme.</p>",CREM JOUR,FEMME
